date,updateDate,code1,code2,code3,value,source
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,AH,11000.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,AP,11200.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,PRD,424000.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,YLD,38.5,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,AH,50100.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,AP,50500.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,PRD,2241000.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,YLD,44.7,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,AH,39800.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,AP,40000.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,PRD,1394000.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,YLD,35.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,AH,43300.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,AP,43500.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,PRD,1531000.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,YLD,35.4,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,AH,22600.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,AP,22800.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,PRD,927000.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,YLD,41.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,AH,103000.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,AP,104000.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,PRD,4635000.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,YLD,45.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,AH,374500.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,AP,379000.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,PRD,13161000.0,S1
2010-01-01,2010-12-31 00:00:00,shANd,W/ALL/DUR,YLD,35.1,S1
2010-01-01,2010-12-31 00:00:00,shASd,W/ALL/DUR,AH,15000.0,S1
2010-01-01,2010-12-31 00:00:00,shASd,W/ALL/DUR,AP,15000.0,S1
2010-01-01,2010-12-31 00:00:00,shASd,W/ALL/DUR,PR,6.31,S1
2010-01-01,2010-12-31 00:00:00,shASd,W/ALL/DUR,PRD,555000.0,S1
2010-01-01,2010-12-31 00:00:00,shASd,W/ALL/DUR,YLD,37.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,YLD/IRR,84.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,YLD/NIRR,46.9,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,PRD/IRR,3580000.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,PRD/NIRR,535000.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AH/IRR,35500.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AH/NIRR,12500.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AP/IRR,36000.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AP/NIRR,12800.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,YLD/IRR,100.8,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,YLD/NIRR,42.8,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,PRD/NIRR,431000.0,S1
